2025-05-30 07:57:25,131 - INFO - Get - Instituições
2025-05-30 08:08:16,453 - INFO - (33, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090084', '298.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (34, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090092', '17.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (35, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090149', '165.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (36, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090173', '246.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (37, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090203', '377.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (38, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090211', '148.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,453 - INFO - (39, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090246', '436.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (40, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090254', '346.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (41, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090270', '153.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (42, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21090289', '690.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (43, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21194089', '363.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (44, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21203075', '538.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (45, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21217874', '228.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (46, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218200', '532.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (47, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218242', '250.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (48, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218420', '32.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,454 - INFO - (49, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218498', '95.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (50, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218528', '265.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (51, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218536', '189.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (52, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218560', '49.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (53, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21218609', '177.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (54, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21219516', '311.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (55, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21225990', '436.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (56, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21226032', '423.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,455 - INFO - (57, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21226245', '76.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,456 - INFO - (58, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21226253', '511.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,456 - INFO - (59, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21228302', '178.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,456 - INFO - (60, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21231460', '594.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:08:16,456 - INFO - (61, 'Nordeste', 'MA', 'Açailândia', 'Oeste Maranhense', 'Imperatriz', '21231540', '142.0', '2', '21', '2100055', '9', '2')
2025-05-30 08:12:56,884 - INFO - Get - Instituições
2025-05-30 08:13:07,199 - INFO - Get - Instituições
